loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,loan_status,purpose,dti
5525, 36 months,15.02,10+ years,RENT,118000.0,Current,car,3.25
2525, 36 months,16.91,1 year,RENT,21000.0,Current,credit_card,15.89
32000, 60 months,14.47,10+ years,MORTGAGE,110000.0,Current,home_improvement,26.11
16000, 36 months,25.34,2 years,RENT,52000.0,Current,debt_consolidation,21.26
16000, 36 months,14.47,< 1 year,RENT,200000.0,Current,debt_consolidation,23.53
18500, 60 months,12.98,5 years,RENT,96500.0,Current,credit_card,27.86
3000, 36 months,10.72,,MORTGAGE,30000.0,Current,credit_card,24.2
23000, 60 months,19.92,,OWN,75000.0,Current,debt_consolidation,32.14
1500, 36 months,17.97,10+ years,MORTGAGE,56160.0,Current,other,26.58
24000, 60 months,12.98,10+ years,MORTGAGE,380000.0,Current,debt_consolidation,7.05
5000, 36 months,16.14,3 years,RENT,50000.0,Current,credit_card,3.35
25000, 36 months,10.33,10+ years,MORTGAGE,80000.0,Current,debt_consolidation,31.23
2500, 36 months,20.89,3 years,RENT,29000.0,Current,other,2.57
12000, 60 months,14.47,10+ years,RENT,62000.0,Current,debt_consolidation,18.76
9600, 36 months,23.4,3 years,RENT,100000.0,Current,small_business,15.79
10000, 36 months,11.31,,MORTGAGE,10020.0,Current,other,123.47
7000, 36 months,15.02,7 years,MORTGAGE,52000.0,Current,debt_consolidation,20.89
8000, 36 months,23.4,1 year,RENT,49400.0,Current,other,23.92
5000, 36 months,16.14,< 1 year,MORTGAGE,115000.0,Current,other,17.07
10000, 36 months,10.33,< 1 year,MORTGAGE,280000.0,Current,debt_consolidation,6.15
8000, 36 months,10.33,6 years,MORTGAGE,38000.0,Current,credit_card,19.84
4000, 36 months,18.94,,RENT,19000.0,Current,major_purchase,21.29
24000, 60 months,11.31,1 year,MORTGAGE,72000.0,Current,debt_consolidation,21.12
25000, 60 months,16.14,5 years,MORTGAGE,45000.0,Current,debt_consolidation,37.09
3000, 36 months,17.97,7 years,MORTGAGE,33000.0,Current,other,7.31
35000, 60 months,18.94,10+ years,RENT,90000.0,Current,debt_consolidation,13.96
8800, 36 months,16.91,< 1 year,MORTGAGE,21000.0,Current,debt_consolidation,32.69
10500, 60 months,11.8,,OWN,36000.0,Current,debt_consolidation,30.57
25000, 60 months,14.47,3 years,MORTGAGE,65000.0,Current,credit_card,29.36
5500, 36 months,11.31,5 years,MORTGAGE,98000.0,Current,debt_consolidation,14.62
12000, 60 months,14.47,6 years,MORTGAGE,39000.0,Current,debt_consolidation,16.06
8500, 36 months,16.14,8 years,MORTGAGE,80000.0,Current,home_improvement,16.59
35000, 60 months,20.89,10+ years,RENT,80000.0,Current,other,36.84
8250, 36 months,17.97,10+ years,MORTGAGE,68000.0,Current,debt_consolidation,26.42
40000, 60 months,16.14,< 1 year,MORTGAGE,45000.0,Fully Paid,credit_card,50.53
20000, 36 months,10.33,10+ years,MORTGAGE,60000.0,Current,debt_consolidation,17.66
18000, 36 months,8.81,3 years,RENT,100203.0,Current,debt_consolidation,12.3
11000, 36 months,14.47,10+ years,MORTGAGE,89000.0,Current,debt_consolidation,24.82
12000, 36 months,16.14,4 years,RENT,70000.0,Current,credit_card,18.96
15000, 60 months,13.56,< 1 year,RENT,72000.0,Current,credit_card,8.98
4000, 36 months,16.91,5 years,RENT,54000.0,Current,home_improvement,9.64
32000, 60 months,12.98,4 years,MORTGAGE,70000.0,Current,debt_consolidation,20.17
15000, 60 months,14.47,10+ years,MORTGAGE,120000.0,Current,debt_consolidation,13.58
18000, 60 months,14.47,7 years,MORTGAGE,60000.0,Current,debt_consolidation,18.12
13000, 36 months,17.97,10+ years,MORTGAGE,92360.0,Current,home_improvement,27.44
10000, 36 months,16.14,1 year,MORTGAGE,63000.0,Current,debt_consolidation,18.65
3600, 36 months,11.8,5 years,MORTGAGE,50000.0,Current,other,16.11
22000, 60 months,11.8,10+ years,MORTGAGE,155000.0,Current,credit_card,28.56
10450, 36 months,18.94,10+ years,MORTGAGE,70000.0,Current,debt_consolidation,27.38
10000, 36 months,11.8,9 years,RENT,100000.0,Current,credit_card,23.3
10000, 36 months,18.94,7 years,MORTGAGE,37115.0,Current,other,33.57
5000, 36 months,11.31,2 years,RENT,40000.0,Current,debt_consolidation,9.66
20000, 36 months,7.56,10+ years,MORTGAGE,100000.0,Fully Paid,credit_card,18.92
17100, 36 months,18.94,10+ years,RENT,38000.0,Current,debt_consolidation,38.09
10475, 36 months,11.31,6 years,RENT,66150.0,Current,debt_consolidation,7.4
10000, 60 months,23.4,< 1 year,RENT,55000.0,Current,debt_consolidation,13.51
7500, 36 months,11.31,7 years,MORTGAGE,40500.0,Current,debt_consolidation,31.61
4000, 36 months,10.72,10+ years,MORTGAGE,56000.0,Current,credit_card,31.03
15400, 60 months,14.47,3 years,MORTGAGE,110000.0,Current,debt_consolidation,36.55
35000, 36 months,14.47,8 years,MORTGAGE,360000.0,Current,credit_card,19.9
30000, 60 months,27.27,1 year,RENT,50000.0,Current,debt_consolidation,23.62
16800, 60 months,17.97,10+ years,RENT,75000.0,Current,debt_consolidation,18.53
25000, 60 months,15.02,10+ years,MORTGAGE,75000.0,Current,debt_consolidation,32.93
10000, 36 months,16.14,10+ years,MORTGAGE,94800.0,Current,credit_card,28.59
20000, 60 months,12.98,1 year,MORTGAGE,70000.0,Current,debt_consolidation,21.38
35000, 60 months,15.02,10+ years,MORTGAGE,106095.0,Current,debt_consolidation,15.38
4000, 36 months,18.94,10+ years,OWN,80000.0,Current,other,12.45
10000, 60 months,16.14,2 years,RENT,90000.0,Current,debt_consolidation,8.8
4500, 36 months,11.31,10+ years,RENT,38500.0,Fully Paid,credit_card,4.64
14000, 60 months,26.31,,RENT,55000.0,Current,debt_consolidation,7.11
6500, 36 months,11.8,2 years,RENT,46500.0,Current,debt_consolidation,21.01
29625, 60 months,15.02,< 1 year,OWN,48000.0,Current,debt_consolidation,16.38
16000, 60 months,27.27,7 years,OWN,88000.0,Current,debt_consolidation,28.88
12000, 60 months,14.47,1 year,RENT,67000.0,Current,credit_card,28.39
35000, 60 months,15.02,10+ years,MORTGAGE,290000.0,Current,debt_consolidation,7.6
30000, 60 months,26.31,10+ years,OWN,62000.0,Current,debt_consolidation,37.24
16000, 36 months,14.47,10+ years,RENT,150000.0,Current,other,17.94
24000, 36 months,15.02,3 years,OWN,105000.0,Current,credit_card,22.14
14000, 36 months,16.14,,MORTGAGE,77479.0,Current,other,23.65
40000, 60 months,11.31,< 1 year,MORTGAGE,136000.0,Current,debt_consolidation,15.41
24000, 60 months,27.27,10+ years,MORTGAGE,140000.0,Current,debt_consolidation,23.92
28000, 36 months,11.31,5 years,RENT,82000.0,Current,credit_card,14.4
7075, 36 months,23.4,,RENT,19200.0,Current,debt_consolidation,30.34
1000, 36 months,23.4,,RENT,29000.0,Current,debt_consolidation,12.91
5400, 36 months,14.47,2 years,MORTGAGE,25000.0,Current,credit_card,9.46
10000, 36 months,19.92,,OWN,17440.0,Current,credit_card,39.5
10000, 36 months,14.47,7 years,RENT,90000.0,Current,credit_card,16.07
25000, 36 months,16.91,3 years,RENT,67000.0,Current,debt_consolidation,13.18
6000, 36 months,6.46,3 years,RENT,27000.0,Current,credit_card,7.64
7000, 36 months,10.33,3 years,RENT,45581.0,Current,debt_consolidation,17.4
30000, 60 months,12.98,2 years,MORTGAGE,113000.0,Current,debt_consolidation,16.26
5000, 36 months,16.14,6 years,RENT,110000.0,Current,other,8.47
15000, 36 months,15.02,10+ years,MORTGAGE,175000.0,Current,home_improvement,17.02
15000, 60 months,13.56,4 years,MORTGAGE,75000.0,Current,debt_consolidation,11.79
20000, 36 months,14.47,4 years,OWN,52000.0,Current,debt_consolidation,30.65
20400, 60 months,10.33,10+ years,MORTGAGE,140000.0,Current,debt_consolidation,5.04
20000, 60 months,12.98,< 1 year,RENT,40000.0,Current,debt_consolidation,27.54
8425, 36 months,27.27,3 years,MORTGAGE,450000.0,Fully Paid,credit_card,12.37
21000, 36 months,16.91,< 1 year,OWN,68000.0,Current,house,9.16
10000, 36 months,14.47,8 years,MORTGAGE,143000.0,Current,debt_consolidation,24.53
15000, 36 months,15.02,,MORTGAGE,42000.0,Current,home_improvement,12.17
24000, 60 months,13.56,10+ years,MORTGAGE,75000.0,Current,debt_consolidation,15.54
15000, 60 months,14.47,9 years,RENT,280000.0,Current,debt_consolidation,16.15
5000, 36 months,10.72,5 years,OWN,72000.0,Current,credit_card,11.42
30000, 60 months,20.89,2 years,RENT,120000.0,Current,debt_consolidation,5.89
35000, 60 months,19.92,10+ years,MORTGAGE,68000.0,Current,debt_consolidation,50.67
3000, 36 months,10.33,7 years,RENT,40000.0,Current,credit_card,10.68
1000, 36 months,6.46,3 years,MORTGAGE,49989.0,Current,credit_card,15.43
10000, 60 months,14.47,5 years,RENT,66931.0,Current,debt_consolidation,9.07
5000, 36 months,11.31,,RENT,13000.0,Current,credit_card,14.59
16500, 60 months,17.97,5 years,MORTGAGE,37000.0,Current,debt_consolidation,52.09
6000, 36 months,15.02,5 years,MORTGAGE,30000.0,Current,debt_consolidation,17.48
35000, 60 months,12.98,7 years,MORTGAGE,211646.0,Current,debt_consolidation,15.09
34575, 60 months,17.97,5 years,MORTGAGE,130000.0,Current,home_improvement,26.43
1200, 36 months,17.97,10+ years,OWN,52000.0,Current,vacation,25.61
9600, 36 months,12.98,,MORTGAGE,35704.0,Current,home_improvement,0.84
4800, 36 months,16.91,9 years,RENT,38500.0,Current,credit_card,28.55
5000, 36 months,22.35,10+ years,MORTGAGE,72000.0,Current,debt_consolidation,20.12
10000, 60 months,12.98,9 years,RENT,60000.0,Current,credit_card,14.9
7500, 36 months,10.72,2 years,RENT,84000.0,Current,debt_consolidation,3.86
16000, 60 months,17.97,2 years,RENT,35000.0,Current,debt_consolidation,23.94
7200, 36 months,23.4,2 years,RENT,56000.0,Current,debt_consolidation,28.01
27975, 36 months,14.47,10+ years,MORTGAGE,180000.0,Current,credit_card,11.47
16000, 60 months,13.56,10+ years,RENT,46000.0,Current,credit_card,11.09
15000, 36 months,10.72,3 years,MORTGAGE,150000.0,Current,debt_consolidation,17.83
9000, 36 months,11.8,10+ years,MORTGAGE,85000.0,Current,credit_card,39.76
1000, 36 months,18.94,3 years,MORTGAGE,57000.0,Current,debt_consolidation,15.49
28000, 60 months,13.56,10+ years,MORTGAGE,128500.0,Current,credit_card,27.35
10000, 36 months,11.31,3 years,RENT,67427.0,Current,major_purchase,0.44
25000, 60 months,14.47,10+ years,OWN,110000.0,Current,credit_card,26.43
23000, 36 months,11.31,3 years,MORTGAGE,145000.0,Current,debt_consolidation,29.62
25000, 60 months,12.98,10+ years,MORTGAGE,85000.0,Current,debt_consolidation,36.67
15000, 36 months,8.19,10+ years,MORTGAGE,92584.0,Current,credit_card,7.27
35000, 60 months,18.94,10+ years,RENT,90000.0,Current,other,20.06
5000, 36 months,7.02,4 years,RENT,26976.0,Current,debt_consolidation,9.74
35000, 36 months,8.19,10+ years,MORTGAGE,325000.0,Current,credit_card,8.18
30000, 36 months,16.91,10+ years,RENT,85000.0,Current,credit_card,22.31
6600, 36 months,8.19,,MORTGAGE,95000.0,Current,debt_consolidation,5.61
20300, 60 months,10.33,2 years,MORTGAGE,185000.0,Current,other,20.57
4000, 36 months,18.94,1 year,RENT,57600.0,Current,debt_consolidation,10.17
10000, 36 months,7.56,10+ years,OWN,44000.0,Current,home_improvement,10.88
21000, 60 months,22.35,3 years,MORTGAGE,99000.0,Current,debt_consolidation,31.62
10000, 36 months,11.8,7 years,MORTGAGE,80000.0,Current,debt_consolidation,18.04
3000, 36 months,8.19,10+ years,MORTGAGE,100000.0,Current,home_improvement,29.27
8000, 36 months,12.98,3 years,MORTGAGE,52000.0,Current,debt_consolidation,30.05
1000, 36 months,23.4,4 years,RENT,35000.0,Current,credit_card,36.45
5100, 36 months,7.02,10+ years,MORTGAGE,76000.0,Current,credit_card,26.54
4000, 36 months,16.14,10+ years,MORTGAGE,64000.0,Current,medical,25.0
35000, 60 months,17.97,3 years,MORTGAGE,72000.0,Current,home_improvement,21.85
4000, 36 months,7.02,10+ years,OWN,60000.0,Current,other,17.18
10000, 36 months,8.81,10+ years,RENT,95000.0,Current,debt_consolidation,10.31
20000, 60 months,17.97,4 years,RENT,57000.0,Fully Paid,debt_consolidation,22.18
22000, 60 months,12.98,10+ years,MORTGAGE,152000.0,Current,debt_consolidation,10.21
6600, 36 months,11.31,10+ years,RENT,45000.0,Fully Paid,credit_card,16.21
3000, 36 months,15.02,5 years,MORTGAGE,95000.0,Current,vacation,11.47
35000, 60 months,22.35,10+ years,RENT,213000.0,Current,debt_consolidation,26.82
5000, 36 months,19.92,< 1 year,RENT,38200.0,Current,debt_consolidation,28.93
6025, 36 months,14.47,4 years,RENT,16800.0,Current,credit_card,4.29
21600, 36 months,8.19,10+ years,MORTGAGE,84200.0,Current,debt_consolidation,28.93
7000, 36 months,20.89,,MORTGAGE,65000.0,Current,home_improvement,30.45
10000, 36 months,10.33,2 years,RENT,96000.0,Current,debt_consolidation,19.1
18000, 36 months,14.47,10+ years,MORTGAGE,63000.0,Current,debt_consolidation,32.29
15000, 60 months,18.94,10+ years,MORTGAGE,165000.0,Current,debt_consolidation,3.07
7000, 36 months,12.98,2 years,MORTGAGE,51000.0,Current,credit_card,21.53
4500, 36 months,10.33,6 years,RENT,72000.0,Current,debt_consolidation,1.27
5000, 36 months,6.46,1 year,MORTGAGE,120000.0,Current,credit_card,15.54
10000, 36 months,8.81,6 years,RENT,62000.0,Current,credit_card,11.13
6000, 36 months,7.02,8 years,MORTGAGE,65000.0,Current,other,20.05
16000, 36 months,8.81,5 years,MORTGAGE,94000.0,Current,credit_card,14.91
4500, 36 months,11.8,10+ years,MORTGAGE,98650.0,Current,other,25.09
5000, 36 months,18.94,6 years,MORTGAGE,60000.0,Current,medical,13.75
10000, 36 months,10.72,3 years,MORTGAGE,150000.0,Current,credit_card,15.83
17425, 36 months,20.89,10+ years,RENT,109000.0,Current,debt_consolidation,28.78
10000, 36 months,14.47,< 1 year,OWN,60000.0,Current,other,20.88
2000, 36 months,16.91,4 years,MORTGAGE,71000.0,Current,credit_card,30.39
5000, 36 months,10.72,10+ years,RENT,72000.0,Current,debt_consolidation,30.25
1300, 36 months,7.56,2 years,MORTGAGE,80000.0,Current,credit_card,6.05
20000, 60 months,15.02,6 years,RENT,80000.0,Current,debt_consolidation,19.37
2500, 36 months,13.56,5 years,RENT,42000.0,Fully Paid,other,15.09
5000, 36 months,10.72,10+ years,RENT,50000.0,Current,renewable_energy,39.41
6000, 36 months,8.19,6 years,RENT,39000.0,Current,debt_consolidation,17.17
36000, 60 months,11.8,10+ years,MORTGAGE,90000.0,Current,credit_card,37.94
16000, 36 months,10.33,4 years,MORTGAGE,65000.0,Current,debt_consolidation,15.27
16000, 60 months,22.35,5 years,MORTGAGE,138300.0,Current,debt_consolidation,4.28
8000, 36 months,11.31,4 years,MORTGAGE,60000.0,Current,credit_card,13.8
2200, 36 months,19.92,< 1 year,OWN,30000.0,Current,debt_consolidation,2.72
7000, 36 months,13.56,1 year,RENT,30000.0,Current,debt_consolidation,12.6
10000, 36 months,10.33,< 1 year,MORTGAGE,65000.0,Current,debt_consolidation,9.89
14000, 36 months,14.47,10+ years,MORTGAGE,36000.0,Current,credit_card,28.1
10000, 36 months,13.56,4 years,MORTGAGE,125000.0,Current,home_improvement,19.75
8000, 36 months,8.81,3 years,MORTGAGE,55000.0,Current,debt_consolidation,13.05
8000, 36 months,8.19,10+ years,MORTGAGE,100000.0,Current,debt_consolidation,10.86
30000, 36 months,7.56,7 years,MORTGAGE,155000.0,Current,credit_card,4.33
15000, 36 months,16.14,< 1 year,OWN,100000.0,Current,major_purchase,8.58
16000, 60 months,14.47,9 years,MORTGAGE,78000.0,Current,credit_card,25.14
32500, 60 months,8.19,10+ years,MORTGAGE,94000.0,Current,debt_consolidation,11.95
8400, 36 months,16.14,1 year,MORTGAGE,50000.0,Current,credit_card,20.09
20000, 60 months,18.94,2 years,MORTGAGE,68000.0,Current,debt_consolidation,35.23
23000, 60 months,14.47,3 years,RENT,33000.0,Current,credit_card,44.33
4800, 36 months,10.33,5 years,OWN,80000.0,Current,debt_consolidation,17.37
40000, 60 months,8.19,10+ years,MORTGAGE,99000.0,Current,credit_card,21.75
3600, 36 months,10.33,< 1 year,RENT,26000.0,Current,debt_consolidation,14.33
36950, 60 months,11.8,1 year,RENT,284000.0,Current,debt_consolidation,3.95
15000, 36 months,7.02,9 years,MORTGAGE,80000.0,Current,credit_card,6.41
16800, 60 months,11.8,7 years,MORTGAGE,56000.0,Current,debt_consolidation,11.36
13000, 36 months,7.02,8 years,OWN,35000.0,Current,debt_consolidation,36.08
31200, 60 months,11.8,10+ years,MORTGAGE,105000.0,Current,credit_card,27.47
25000, 60 months,16.91,10+ years,MORTGAGE,130000.0,Current,home_improvement,21.05
30800, 36 months,11.31,10+ years,MORTGAGE,105000.0,Current,credit_card,25.65
16000, 36 months,6.46,2 years,RENT,80000.0,Current,credit_card,7.31
3600, 36 months,14.47,2 years,MORTGAGE,52000.0,Current,debt_consolidation,16.43
30000, 36 months,7.02,4 years,MORTGAGE,92000.0,Current,major_purchase,12.91
1000, 36 months,23.4,4 years,MORTGAGE,39000.0,Current,vacation,10.18
16000, 36 months,6.46,10+ years,MORTGAGE,110000.0,Current,home_improvement,4.21
16800, 36 months,11.8,8 years,MORTGAGE,47800.0,Current,credit_card,29.95
6500, 36 months,10.33,< 1 year,MORTGAGE,42000.0,Current,debt_consolidation,27.69
6500, 36 months,6.46,3 years,MORTGAGE,40000.0,Current,credit_card,13.92
12000, 60 months,12.98,< 1 year,RENT,55000.0,Current,debt_consolidation,21.73
11500, 36 months,8.19,10+ years,MORTGAGE,173370.0,Current,credit_card,25.29
40000, 36 months,8.19,9 years,MORTGAGE,55000.0,Current,debt_consolidation,16.08
31000, 60 months,16.91,1 year,RENT,52000.0,Current,debt_consolidation,30.39
